"","Full_Name","Status","School_Type","Year_Closed","Year","GunRelated_Incidents"
"188","Joseph Leidy Elementary","Closed","Elementary",2014,"2012",0
"189","Walter Smith Elementary","Closed","Elementary",2013,"2012",12
"190","Stephen A. Douglas High school","Closed","High",2013,"2012",2
"191","Lamberton High School","Closed","High",2013,"2012",6
"192","Fairhill Elementary","Closed","Elementary",2014,"2012",12
"193","George Wharton Pepper Middle School","Closed","Middle",2013,"2012",3
"194","Vaux High School","Closed","High",2013,"2012",7
"195","Joseph C.  Ferguson Elementary","Closed","Elementary",2014,"2012",10
"196","Anna B Pratt Elementary","Closed","Elementary",2014,"2012",31
"197","George Washington Elementary","Closed","Elementary",2013,"2012",10
"198","Robert Fulton Elementary","Closed","Elementary",2013,"2012",8
"199","General John F. Reynolds Elementary","Closed","Elementary",2013,"2012",14
"200","John Greenleaf Whittier Elementary","Closed","Elementary",2013,"2012",4
"201","Germantown High School","Closed","High",2013,"2012",9
"202","Anna H Shaw Middle School","Closed","Middle",2014,"2012",15
"203","Alexander Wilson Elementary","Closed","Elementary",2013,"2012",4
"204","University City High School","Closed","High",2013,"2012",2
"205","Harrison Elementary","Closed","Elementary",2012,"2012",17
"206","Charles R. Drew Elementary","Closed","Elementary",2012,"2012",5
"207","William Levering Elementary","Closed","Elementary",2012,"2012",0
"208","Philadelphia High School for Business and Technology","Closed","High",2012,"2012",7
"209","Rhodes High School","Closed","High",2012,"2012",4
"210","Thomas FitzSimons High School","Closed","High",2012,"2012",7
"211","Bok Technical High School","Closed","High",2013,"2013",10
"212","L.P. Hill Elementary","Closed","Elementary",2013,"2013",12
"213","Sheridan West Middle School","Closed","Middle",2014,"2013",29
"214","Charles Carroll High School","Closed","High",2013,"2013",2
"215","John L. Kinsey Elementary","Closed","Elementary",2013,"2013",7
"216","M.H. Stanton Elementary","Closed","Elementary",2013,"2013",10
"217","Communications Technology High School","Closed","High",2014,"2013",5
"218","Joseph Leidy Elementary","Closed","Elementary",2014,"2013",2
"219","Walter Smith Elementary","Closed","Elementary",2013,"2013",7
"220","Stephen A. Douglas High school","Closed","High",2013,"2013",3
"221","Lamberton High School","Closed","High",2013,"2013",4
"222","Fairhill Elementary","Closed","Elementary",2014,"2013",21
"223","George Wharton Pepper Middle School","Closed","Middle",2013,"2013",2
"224","Vaux High School","Closed","High",2013,"2013",5
"225","Joseph C.  Ferguson Elementary","Closed","Elementary",2014,"2013",8
"226","Anna B Pratt Elementary","Closed","Elementary",2014,"2013",17
"227","George Washington Elementary","Closed","Elementary",2013,"2013",6
"228","Robert Fulton Elementary","Closed","Elementary",2013,"2013",4
"229","General John F. Reynolds Elementary","Closed","Elementary",2013,"2013",13
"230","John Greenleaf Whittier Elementary","Closed","Elementary",2013,"2013",8
"231","Germantown High School","Closed","High",2013,"2013",7
"232","Anna H Shaw Middle School","Closed","Middle",2014,"2013",19
"233","Alexander Wilson Elementary","Closed","Elementary",2013,"2013",1
"234","University City High School","Closed","High",2013,"2013",0
"235","Harrison Elementary","Closed","Elementary",2012,"2013",6
"236","Charles R. Drew Elementary","Closed","Elementary",2012,"2013",4
"237","William Levering Elementary","Closed","Elementary",2012,"2013",0
"238","Philadelphia High School for Business and Technology","Closed","High",2012,"2013",4
"239","Rhodes High School","Closed","High",2012,"2013",8
"240","Thomas FitzSimons High School","Closed","High",2012,"2013",13
"241","Bok Technical High School","Closed","High",2013,"2014",4
"242","L.P. Hill Elementary","Closed","Elementary",2013,"2014",9
"243","Sheridan West Middle School","Closed","Middle",2014,"2014",31
"244","Charles Carroll High School","Closed","High",2013,"2014",0
"245","John L. Kinsey Elementary","Closed","Elementary",2013,"2014",7
"246","M.H. Stanton Elementary","Closed","Elementary",2013,"2014",19
"247","Communications Technology High School","Closed","High",2014,"2014",2
"248","Joseph Leidy Elementary","Closed","Elementary",2014,"2014",1
"249","Walter Smith Elementary","Closed","Elementary",2013,"2014",12
"250","Stephen A. Douglas High school","Closed","High",2013,"2014",0
"251","Lamberton High School","Closed","High",2013,"2014",2
"252","Fairhill Elementary","Closed","Elementary",2014,"2014",17
"253","George Wharton Pepper Middle School","Closed","Middle",2013,"2014",0
"254","Vaux High School","Closed","High",2013,"2014",9
"255","Joseph C.  Ferguson Elementary","Closed","Elementary",2014,"2014",7
"256","Anna B Pratt Elementary","Closed","Elementary",2014,"2014",17
"257","George Washington Elementary","Closed","Elementary",2013,"2014",10
"258","Robert Fulton Elementary","Closed","Elementary",2013,"2014",8
"259","General John F. Reynolds Elementary","Closed","Elementary",2013,"2014",11
